counter,county,state,address_cross
1,"El Paso","TX","10   15 2X WSRC"
2,"El Paso","TX","10   16 1X BOOKING"
3,"El Paso","TX","10   DE LEON DR 1 C"
4,"El Paso","TX","10   DE LEON DR 1D"
5,"El Paso","TX","10   DE LEON DR 2 I"
6,"El Paso","TX","10   DE LEON DR 3 B"
7,"El Paso","TX","10   DE LEON DR 3 F"
8,"El Paso","TX","10   DE LEON DR 4 H"
9,"El Paso","TX","10   DE LEON DR 4 K"
10,"El Paso","TX","10   DE LEON DR 8 B"
11,"El Paso","TX","10   DE LEON DR B 3"
12,"El Paso","TX","10   DE LEON DR B2"
13,"El Paso","TX","10   DE LEON DR C2"
14,"El Paso","TX","10   DE LEON DR E2 E"
15,"El Paso","TX","10   DE LEON DR F 3"
16,"El Paso","TX","10   DE LEON DR F3"
17,"El Paso","TX","10   DE LEON DR H4"
18,"El Paso","TX","10   DE LEON DR J1"
19,"El Paso","TX","10   DE LEON DR J2"
20,"El Paso","TX","10   DE LEON DR K 7"
21,"El Paso","TX","10   DE LEON DR K4"
22,"El Paso","TX","10   DE LEON DR Z1"
23,"El Paso","TX","100   AWBREY"
24,"El Paso","TX","100   CALIFORN"
25,"El Paso","TX","100   CALIFORNIA"
26,"El Paso","TX","100   CHAMP"
27,"El Paso","TX","100   COLDWELL"
28,"El Paso","TX","100   COT"
29,"El Paso","TX","100   COTTON"
30,"El Paso","TX","100   FESTIVAL"
31,"El Paso","TX","100   GLEN"
32,"El Paso","TX","100   GLENWOOD"
33,"El Paso","TX","100   MESA HILLS"
34,"El Paso","TX","100   NEVAD"
35,"El Paso","TX","100   OCHOA"
36,"El Paso","TX","100   RIO GRAN"
37,"El Paso","TX","100   RIVER"
38,"El Paso","TX","100   ROB"
39,"El Paso","TX","100   SCHUS"
40,"El Paso","TX","100   SERRANIA DR"
41,"El Paso","TX","100   SILVER SHADOW DR B"
42,"El Paso","TX","100   SIXTH"
43,"El Paso","TX","100   STANTON"
44,"El Paso","TX","100   UNIVERSITY"
45,"El Paso","TX","100   WASHIN"
46,"El Paso","TX","100 N HARRIS ST 2"
47,"El Paso","TX","100 N STATON"
48,"El Paso","TX","100 W RIO GRANDE AVE EPCC 4010A"
49,"El Paso","TX","100 W SAN"
50,"El Paso","TX","100 W SAN FRAN"
51,"El Paso","TX","1000   ARIZONA AVE 10"
52,"El Paso","TX","1000   ARIZONA AVE 2"
53,"El Paso","TX","1000   FRANCINE ST B"
54,"El Paso","TX","1000   KENW"
55,"El Paso","TX","1000   MAG"
56,"El Paso","TX","1000   MCNUTT RD"
57,"El Paso","TX","1000   PADRES"
58,"El Paso","TX","1000   PEID"
59,"El Paso","TX","1000   PELL"
60,"El Paso","TX","1000   RAY"
61,"El Paso","TX","1000   RAYNO"
62,"El Paso","TX","1000   TAYS ST C"
63,"El Paso","TX","1000 E SIXTH AVE 31"
64,"El Paso","TX","1000 S OCHOA ST 2"
65,"El Paso","TX","10000   RUSHING RD 13 B"
66,"El Paso","TX","10000   RUSHING RD 14 A"
67,"El Paso","TX","10000   RUSHING RD 24"
68,"El Paso","TX","10000   RUSHING RD 26 C"
69,"El Paso","TX","10000   RUSHING RD 26C"
70,"El Paso","TX","10000   RUSHING RD 30"
71,"El Paso","TX","10000   RUSHING RD 35"
72,"El Paso","TX","10000   RUSHING RD 9"
73,"El Paso","TX","10000   SEAN"
74,"El Paso","TX","10000 N DESERT"
75,"El Paso","TX","10001   CARIBOU DR C"
76,"El Paso","TX","10005   CARIBOU DR B"
77,"El Paso","TX","10006   GATEWAY NORTH BLVD"
78,"El Paso","TX","10009   GIRL SCOUT WAY"
79,"El Paso","TX","10009   RUSHING RD 12 C"
80,"El Paso","TX","10009   RUSHING RD 19"
81,"El Paso","TX","10009   RUSHING RD 21"
82,"El Paso","TX","10009   RUSHING RD 23"
83,"El Paso","TX","10009   RUSHING RD 28"
84,"El Paso","TX","10009   RUSHING RD 43"
85,"El Paso","TX","10009   RUSHING RD 52"
86,"El Paso","TX","10009   RUSHING RD 9"
87,"El Paso","TX","1001 E NEVADA AVE 203"
88,"El Paso","TX","1001 E NEVADA AVE 6"
89,"El Paso","TX","1001 S OCHOA ST   812"
90,"El Paso","TX","1001 S OCHOA ST 3"
91,"El Paso","TX","1001 S OCHOA ST 313"
92,"El Paso","TX","1001 S OCHOA ST 410"
93,"El Paso","TX","1001 S OCHOA ST 413"
94,"El Paso","TX","1001 S OCHOA ST 803"
95,"El Paso","TX","1001 S OCHOA ST 808"
