counter,county,state,address_cross,latitude,longitude,match_score,GEOID
1,El Paso,TX,10   15 2X WSRC,31.7196049,-106.3026075,9,481410103383
2,El Paso,TX,10   16 1X BOOKING,31.7508481,-106.3692358,9,481410035011
3,El Paso,TX,10   DE LEON DR 1 C,31.831379,-106.5348719,9,481410011043
4,El Paso,TX,10   DE LEON DR 1D,31.831379,-106.5348719,9,481410011043
5,El Paso,TX,10   DE LEON DR 2 I,31.831379,-106.5348719,9,481410011043
6,El Paso,TX,10   DE LEON DR 3 B,31.831379,-106.5348719,9,481410011043
7,El Paso,TX,10   DE LEON DR 3 F,31.831379,-106.5348719,9,481410011043
8,El Paso,TX,10   DE LEON DR 4 H,31.831379,-106.5348719,9,481410011043
9,El Paso,TX,10   DE LEON DR 4 K,31.831379,-106.5348719,9,481410011043
10,El Paso,TX,10   DE LEON DR 8 B,31.831379,-106.5348719,9,481410011043
11,El Paso,TX,10   DE LEON DR B 3,31.831379,-106.5348719,9,481410011043
12,El Paso,TX,10   DE LEON DR B2,31.831379,-106.5348719,9,481410011043
13,El Paso,TX,10   DE LEON DR C2,31.831379,-106.5348719,9,481410011043
14,El Paso,TX,10   DE LEON DR E2 E,31.831379,-106.5348719,9,481410011043
15,El Paso,TX,10   DE LEON DR F 3,31.831379,-106.5348719,9,481410011043
16,El Paso,TX,10   DE LEON DR F3,31.831379,-106.5348719,9,481410011043
17,El Paso,TX,10   DE LEON DR H4,31.831379,-106.5348719,9,481410011043
18,El Paso,TX,10   DE LEON DR J1,31.831379,-106.5348719,9,481410011043
19,El Paso,TX,10   DE LEON DR J2,31.831379,-106.5348719,9,481410011043
20,El Paso,TX,10   DE LEON DR K 7,31.831379,-106.5348719,9,481410011043
21,El Paso,TX,10   DE LEON DR K4,31.831379,-106.5348719,9,481410011043
22,El Paso,TX,10   DE LEON DR Z1,31.831379,-106.5348719,9,481410011043
23,El Paso,TX,100   AWBREY,31.7668566,-106.4182985,7,481410036012
24,El Paso,TX,100   CALIFORN,31.7662707,-106.4950316,7,481410016002
25,El Paso,TX,100   CALIFORNIA,31.7662707,-106.4950316,7,481410016002
26,El Paso,TX,100   CHAMP,31.8359368,-106.5465607,9,481410011132
27,El Paso,TX,100   COLDWELL,31.7585515,-106.4955981,9,481410016004
28,El Paso,TX,100   COT,0.0,0.0,0,
29,El Paso,TX,100   COTTON,31.7629898,-106.4729351,9,481410021003
30,El Paso,TX,100   FESTIVAL,31.8180241,-106.5158389,7,481410011151
31,El Paso,TX,100   GLEN,31.785626,-106.318675,6,481410103123
32,El Paso,TX,100   GLENWOOD,31.7673426,-106.420739,7,481410036013
33,El Paso,TX,100   MESA HILLS,31.8241874,-106.5232766,7,481410011142
34,El Paso,TX,100   NEVAD,31.7655453,-106.4943926,7,481410016001
35,El Paso,TX,100   OCHOA,31.7599026,-106.4812184,9,481410017001
36,El Paso,TX,100   RIO GRAN,31.7638951,-106.4938741,9,481410016001
37,El Paso,TX,100   RIVER,31.76699979999999,-106.4956643,7,481410016002
38,El Paso,TX,100   ROB,31.7193174,-106.3207593,7,481410041032
39,El Paso,TX,100   SCHUS,31.753708,-106.3202364,9,481410043133
40,El Paso,TX,100   SERRANIA DR,31.8529336,-106.5848466,7,481410013012
41,El Paso,TX,100   SILVER SHADOW DR B,31.833776,-106.5551579,9,481410011041
42,El Paso,TX,100   SIXTH,31.7516473,-106.4870942,7,481410018002
